timestamp,t_kiln,temp_c,sp_c,output_pct,pid_profile
1783548062.05,0.00,57.47,200.00,0.00,TEMPER
1783548063.24,0.00,57.53,200.00,100.00,TEMPER
1783548064.42,0.00,57.67,200.00,100.00,TEMPER
1783548065.60,0.00,57.71,200.00,100.00,TEMPER
1783548066.77,0.00,57.83,200.00,100.00,TEMPER
1783548067.95,0.00,57.93,200.00,100.00,TEMPER
1783548069.12,0.00,58.09,200.00,100.00,TEMPER
1783548070.30,0.00,58.20,200.00,100.00,TEMPER
1783548071.47,0.00,58.36,200.00,100.00,TEMPER
1783548072.66,0.00,58.57,200.00,100.00,TEMPER
1783548073.83,0.00,58.73,200.00,100.00,TEMPER
1783548075.01,0.00,58.97,200.00,100.00,TEMPER
1783548076.06,0.00,59.15,200.00,100.00,TEMPER
1783548077.24,0.00,59.34,200.00,100.00,TEMPER
1783548078.41,0.00,59.60,200.00,100.00,TEMPER
1783548079.67,0.00,59.80,200.00,100.00,TEMPER
1783548080.85,0.00,60.11,200.00,100.00,TEMPER
1783548081.91,0.00,60.27,200.00,100.00,TEMPER
1783548083.09,0.00,60.56,200.00,100.00,TEMPER
1783548084.27,0.00,60.81,200.00,100.00,TEMPER
1783548085.44,0.00,61.02,200.00,100.00,TEMPER
1783548086.63,0.00,61.44,200.00,100.00,TEMPER
1783548087.73,0.00,61.71,200.00,100.00,TEMPER
1783548088.92,0.00,62.01,200.00,100.00,TEMPER
1783548090.11,0.00,62.37,200.00,100.00,TEMPER
1783548091.28,0.00,62.53,200.00,100.00,TEMPER
1783548092.39,0.00,62.82,200.00,100.00,TEMPER
1783548093.56,0.00,63.09,200.00,100.00,TEMPER
1783548094.75,0.00,63.49,200.00,100.00,TEMPER
1783548095.94,0.00,63.90,200.00,100.00,TEMPER
1783548097.07,0.00,64.25,200.00,100.00,TEMPER
1783548098.14,0.00,64.37,200.00,100.00,TEMPER
1783548099.31,0.00,64.74,200.00,100.00,TEMPER
1783548100.49,0.00,65.12,200.00,100.00,TEMPER
1783548101.66,0.00,65.52,200.00,100.00,TEMPER
1783548102.85,0.00,65.85,200.00,100.00,TEMPER
1783548104.03,0.00,66.26,200.00,100.00,TEMPER
1783548105.22,0.00,66.47,200.00,100.00,TEMPER
1783548106.38,0.00,66.94,200.00,100.00,TEMPER
1783548107.56,0.00,67.07,200.00,100.00,TEMPER
1783548108.73,0.00,67.54,200.00,100.00,TEMPER
1783548109.91,0.00,67.79,200.00,100.00,TEMPER
1783548111.09,0.00,68.27,200.00,100.00,TEMPER
1783548112.17,0.00,68.51,200.00,100.00,TEMPER
1783548113.34,0.00,68.84,200.00,100.00,TEMPER
1783548114.52,0.00,69.38,200.00,100.00,TEMPER
1783548115.68,0.00,69.67,200.00,100.00,TEMPER
1783548116.90,0.00,70.02,200.00,100.00,TEMPER
1783548118.08,0.00,70.54,200.00,100.00,TEMPER
1783548119.27,0.00,70.78,200.00,100.00,TEMPER
1783548120.44,0.00,71.29,200.00,100.00,TEMPER
1783548121.61,0.00,71.44,200.00,100.00,TEMPER
1783548122.80,0.00,71.92,200.00,100.00,TEMPER
1783548123.97,0.00,72.21,200.00,100.00,TEMPER
1783548125.14,0.00,72.71,200.00,100.00,TEMPER
1783548126.19,0.00,73.11,200.00,100.00,TEMPER
